triangle,d,n_roots,mean_abs,min_abs,max_abs,rel_spread,n_coeffs,has_zero_root
prime,24,20,0.8308660128353486,0.46574265396622094,1.0191874077556042,0.12546088295994143,21,False
prime,25,19,0.8032027041428413,0.33796787794517263,0.9505296205514335,0.14860364849728705,20,False
prime,26,18,0.7624173299823614,0.09824594265729775,0.8946135105872423,0.2169044598938708,19,False
prime,27,17,0.7475719218895144,0.5726454849298045,0.8506383932126851,0.08558292742202944,18,False
prime,28,16,0.770652860605767,0.7411330793693734,0.8223368803352838,0.0328801027269188,17,False
prime,29,15,0.7800328523764312,0.7440397431965794,0.8102354975275147,0.024251742212588044,16,False
prime,30,14,0.7837888861713477,0.7472609878437149,0.8120621415243242,0.02193122235505741,15,False
prime,31,13,0.7847590840890046,0.750181463317512,0.8140696472739645,0.021029687576068472,14,False
prime,32,12,0.784322646628155,0.7527734667681656,0.8165701433216227,0.020698817791285518,13,False
prime,33,11,0.7833770392519572,0.7552465634067567,0.8199358570335942,0.020973351015157956,12,False
prime,34,10,0.7826596252892083,0.7578986151835454,0.8246231659515942,0.022115647713780936,11,False
prime,35,9,0.7828816334642673,0.7610621772689483,0.8312159353212496,0.024441168470353776,10,False
prime,36,8,0.784808144383663,0.7651021400130035,0.8405105893251527,0.02826274869857788,9,False
prime,37,7,0.7893679903205458,0.7704556107169459,0.8536921247412971,0.03396089203513527,8,False
prime,38,6,0.7979120466913892,0.7777323905368885,0.8727185432970628,0.042211884442688745,7,False
prime,39,5,0.8128992843860946,0.7879468984747638,0.9012366036619053,0.05442628838772701,6,False
prime,40,4,0.8399560295066633,0.8031156921136008,0.9470917483729369,0.07365894366634684,5,False
prime,41,3,0.8957223034452125,0.828127798983733,1.0309113123681712,0.10672176475190323,4,False
prime,42,2,1.0538389397524495,0.8786684917090648,1.2290093877958341,0.16622127104596537,3,False
smooth,0,44,0.5330466333805305,0.5277081850717077,0.5336264797145102,0.002451486125305745,45,False
smooth,1,43,0.5285562675265588,0.524516587464762,0.5289879802158123,0.0018738693158126545,44,False
smooth,2,42,0.5252169439185119,0.52214677518903,0.5255407885593323,0.0014373578997660614,43,False
smooth,3,41,0.5226541177079215,0.5203004093832134,0.5228999686804551,0.0011118260003820657,42,False
smooth,4,40,0.5206318902914793,0.5188077770754144,0.5208211031027015,0.0008695777580146575,41,False
smooth,5,39,0.5189962362291112,0.51756623106842,0.5191441255099731,0.0006883524173895472,40,False
smooth,6,38,0.5176439967106734,0.5165103598888402,0.5177612846826765,0.0005514335549930343,39,False
smooth,7,37,0.5165045656185482,0.515596560004203,0.5165989485215942,0.00044670298394365723,38,False
