table,weight,side,r,d,value
log prime,log,prime,15,3,1755.1910984614
log prime,log,prime,16,3,4416.3191044409
log prime,log,prime,17,3,8109.7991367234
log prime,log,prime,18,3,15995.2340572874
log prime,log,prime,19,3,33726.7447876373
log prime,log,prime,20,3,63812.9151239399
log prime,log,prime,21,3,133320.5511366343
log prime,log,prime,22,3,260244.5061871142
log prime,log,prime,23,3,524643.7937615011
log prime,log,prime,24,3,1049278.9224390066
log prime,log,prime,5,4,13.4938374474
log prime,log,prime,6,4,-19.1088895518
log prime,log,prime,7,4,28.4074521817
log prime,log,prime,8,4,-10.3029350964
log prime,log,prime,9,4,34.1753272055
log prime,log,prime,10,4,-9.4797281843
log prime,log,prime,11,4,121.1546059770
log prime,log,prime,12,4,117.8546523410
log prime,log,prime,13,4,145.7168867114
log prime,log,prime,14,4,786.0725023304
log prime,log,prime,15,4,550.3078969683
log prime,log,prime,16,4,2661.1280059795
log prime,log,prime,17,4,3693.4800322825
log prime,log,prime,18,4,7885.4349205640
log prime,log,prime,19,4,17731.5107303498
log prime,log,prime,20,4,30086.1703363026
log prime,log,prime,21,4,69507.6360126944
log prime,log,prime,22,4,126923.9550504799
log prime,log,prime,23,4,264399.2875743869
log prime,log,prime,24,4,524635.1286775055
log prime,log,prime,6,5,-32.6027269992
log prime,log,prime,7,5,47.5163417335
log prime,log,prime,8,5,-38.7103872781
log prime,log,prime,9,5,44.4782623019
log prime,log,prime,10,5,-43.6550553898
log prime,log,prime,11,5,130.6343341614
log prime,log,prime,12,5,-3.2999536360
log prime,log,prime,13,5,27.8622343704
log prime,log,prime,14,5,640.3556156190
log prime,log,prime,15,5,-235.7646053620
log prime,log,prime,16,5,2110.8201090111
log prime,log,prime,17,5,1032.3520263030
log prime,log,prime,18,5,4191.9548882815
log prime,log,prime,19,5,9846.0758097858
log prime,log,prime,20,5,12354.6596059528
log prime,log,prime,21,5,39421.4656763918
log prime,log,prime,22,5,57416.3190377854
log prime,log,prime,23,5,137475.3325239071
log prime,log,prime,24,5,260235.8411031186
beat prime,beat,prime,1,0,0.7071067812
beat prime,beat,prime,2,0,0.5773502692
beat prime,beat,prime,3,0,0.8251780685
beat prime,beat,prime,4,0,0.5788614427
beat prime,beat,prime,5,0,1.0457664132
beat prime,beat,prime,6,0,1.0145226659
beat prime,beat,prime,7,0,1.3609968740
beat prime,beat,prime,8,0,1.6940137684
beat prime,beat,prime,9,0,2.2313587971
beat prime,beat,prime,10,0,2.7439398429
beat prime,beat,prime,11,0,3.5592980664
beat prime,beat,prime,12,0,4.6764349578
beat prime,beat,prime,13,0,6.0185046899
beat prime,beat,prime,14,0,7.9974444362
beat prime,beat,prime,15,0,10.4520331851
beat prime,beat,prime,16,0,13.9003261047
beat prime,beat,prime,17,0,18.5081201397
beat prime,beat,prime,18,0,24.6387817813
beat prime,beat,prime,19,0,33.0411453588
beat prime,beat,prime,20,0,44.2660868300
beat prime,beat,prime,21,0,59.6153307301
beat prime,beat,prime,22,0,80.3850837343
beat prime,beat,prime,23,0,108.6321253716
beat prime,beat,prime,24,0,147.1153298953
beat prime,beat,prime,2,1,-0.1297565120
beat prime,beat,prime,3,1,0.2478277993
beat prime,beat,prime,4,1,-0.2463166258
beat prime,beat,prime,5,1,0.4669049705
beat prime,beat,prime,6,1,-0.0312437473
beat prime,beat,prime,7,1,0.3464742081
beat prime,beat,prime,8,1,0.3330168943
beat prime,beat,prime,9,1,0.5373450288
beat prime,beat,prime,10,1,0.5125810457
beat prime,beat,prime,11,1,0.8153582235
beat prime,beat,prime,12,1,1.1171368914
beat prime,beat,prime,13,1,1.3420697321
beat prime,beat,prime,14,1,1.9789397463
beat prime,beat,prime,15,1,2.4545887489
beat prime,beat,prime,16,1,3.4482929196
beat prime,beat,prime,17,1,4.6077940350
beat prime,beat,prime,18,1,6.1306616417
beat prime,beat,prime,19,1,8.4023635775
beat prime,beat,prime,20,1,11.2249414712
beat prime,beat,prime,21,1,15.3492439001
beat prime,beat,prime,22,1,20.7697530042
beat prime,beat,prime,23,1,28.2470416373
beat prime,beat,prime,24,1,38.4832045238
beat prime,beat,prime,3,2,0.3775843113
beat prime,beat,prime,4,2,-0.4941444251
beat prime,beat,prime,5,2,0.7132215963
beat prime,beat,prime,6,2,-0.4981487178
beat prime,beat,prime,7,2,0.3777179554
beat prime,beat,prime,8,2,-0.0134573138
beat prime,beat,prime,9,2,0.2043281345
beat prime,beat,prime,10,2,-0.0247639831
beat prime,beat,prime,11,2,0.3027771778
beat prime,beat,prime,12,2,0.3017786679
beat prime,beat,prime,13,2,0.2249328407
beat prime,beat,prime,14,2,0.6368700142
beat prime,beat,prime,15,2,0.4756490026
beat prime,beat,prime,16,2,0.9937041707
beat prime,beat,prime,17,2,1.1595011154
beat prime,beat,prime,18,2,1.5228676067
beat prime,beat,prime,19,2,2.2717019358
beat prime,beat,prime,20,2,2.8225778937
beat prime,beat,prime,21,2,4.1243024288
beat prime,beat,prime,22,2,5.4205091041
beat prime,beat,prime,23,2,7.4772886331
beat prime,beat,prime,24,2,10.2361628865
beat prime,beat,prime,4,3,-0.8717287365
beat prime,beat,prime,5,3,1.2073660214
beat prime,beat,prime,6,3,-1.2113703141
beat prime,beat,prime,7,3,0.8758666732
beat prime,beat,prime,8,3,-0.3911752692
beat prime,beat,prime,9,3,0.2177854482
beat prime,beat,prime,10,3,-0.2290921175
beat prime,beat,prime,11,3,0.3275411609
beat prime,beat,prime,12,3,-0.0009985100
beat prime,beat,prime,13,3,-0.0768458272
beat prime,beat,prime,14,3,0.4119371736
beat prime,beat,prime,15,3,-0.1612210116
beat prime,beat,prime,16,3,0.5180551680
beat prime,beat,prime,17,3,0.1657969448
beat prime,beat,prime,18,3,0.3633664912
beat prime,beat,prime,19,3,0.7488343292
beat prime,beat,prime,20,3,0.5508759579
beat prime,beat,prime,21,3,1.3017245351
beat prime,beat,prime,22,3,1.2962066752
beat prime,beat,prime,23,3,2.0567795290
