x,pi2
9920000000,27213559
9930000000,27238334
9940000000,27263253
9950000000,27288241
9960000000,27313332
9970000000,27338416
9980000000,27363157
9990000000,27387935
10000000000,27412679
10010000000,27437621
10020000000,27462442
10030000000,27487508
10040000000,27512534
10050000000,27537522
10060000000,27562391
10070000000,27587311
10080000000,27612215
10090000000,27636945
10100000000,27661660
10110000000,27686559
10120000000,27711433
10130000000,27736523
10140000000,27761159
10150000000,27786250
10160000000,27810901
10170000000,27835822
10180000000,27860852
10190000000,27885687
10200000000,27910387
10210000000,27935200
10220000000,27960264
10230000000,27985193
10240000000,28010107
10250000000,28034881
10260000000,28059681
10270000000,28084276
10280000000,28109116
10290000000,28133838
10300000000,28158873
10310000000,28183798
10320000000,28208847
10330000000,28233780
10340000000,28258621
10350000000,28283435
10360000000,28308164
10370000000,28332882
10380000000,28357643
10390000000,28382566
10400000000,28407240
10410000000,28432047
10420000000,28456596
10430000000,28481487
10440000000,28506446
10450000000,28531165
10460000000,28555714
10470000000,28580483
10480000000,28605203
10490000000,28630053
10500000000,28654952
10510000000,28679659
10520000000,28704437
10530000000,28729209
10540000000,28753929
10550000000,28778772
10560000000,28803511
10570000000,28828499
10580000000,28853273
10590000000,28878089
10600000000,28902874
10610000000,28927473
10620000000,28952015
10630000000,28976932
10640000000,29001629
10650000000,29026298
10660000000,29050866
10670000000,29075587
10680000000,29100265
10690000000,29124817
10700000000,29149660
10710000000,29174291
10720000000,29199175
10730000000,29223772
10740000000,29248259
10750000000,29273169
10760000000,29297812
10770000000,29322429
10780000000,29347178
10790000000,29372033
10800000000,29396632
10810000000,29421431
10820000000,29445967
10830000000,29470704
10840000000,29495380
10850000000,29520019
10860000000,29544560
10870000000,29569201
10880000000,29594066
10890000000,29618661
10900000000,29643385
10910000000,29668008
10920000000,29692418
10930000000,29717035
10940000000,29741685
10950000000,29766506
10960000000,29791109
10970000000,29815915
10980000000,29840515
10990000000,29865263
11000000000,29889853
11010000000,29914533
11020000000,29939143
11030000000,29963680
11040000000,29988179
11050000000,30012707
11060000000,30037448
11070000000,30061984
11080000000,30086799
11090000000,30111794
11100000000,30136268
11110000000,30160946
11120000000,30185809
11130000000,30210555
11140000000,30235336
11150000000,30260088
11160000000,30284837
11170000000,30309533
11180000000,30334306
11190000000,30359160
11200000000,30383952
11210000000,30408400
11220000000,30433054
11230000000,30457789
11240000000,30482787
11250000000,30507573
11260000000,30532350
11270000000,30556916
11280000000,30581537
11290000000,30605972
11300000000,30630971
11310000000,30655777
11320000000,30680279
11330000000,30704858
11340000000,30729699
11350000000,30754192
11360000000,30778985
11370000000,30803755
11380000000,30828668
11390000000,30853194
11400000000,30877551
11410000000,30902303
11420000000,30926908
11430000000,30951579
11440000000,30976071
11450000000,31000506
11460000000,31025128
11470000000,31049532
11480000000,31074213
11490000000,31098829
11500000000,31123480
11510000000,31147855
11520000000,31172585
11530000000,31197095
11540000000,31221637
11550000000,31246412
11560000000,31270836
11570000000,31295651
11580000000,31320184
11590000000,31344816
11600000000,31369530
11610000000,31394204
11620000000,31418797
11630000000,31443438
11640000000,31467837
11650000000,31492431
11660000000,31516969
11670000000,31541659
11680000000,31566293
11690000000,31591015
11700000000,31615609
11710000000,31640136
11720000000,31664859
11730000000,31689261
11740000000,31713797
11750000000,31738471
11760000000,31762985
11770000000,31787631
11780000000,31812080
11790000000,31836563
11800000000,31861232
11810000000,31885954
11820000000,31910536
11830000000,31935007
11840000000,31959489
11850000000,31983976
11860000000,32008460
11870000000,32032802
11880000000,32057480
11890000000,32082213
11900000000,32106499
11910000000,32131116
11920000000,32155779
11930000000,32180304
11940000000,32204804
11950000000,32229252
11960000000,32253780
11970000000,32278476
11980000000,32303004
11990000000,32327590
12000000000,32352147
12010000000,32376655
12020000000,32401330
12030000000,32425856
12040000000,32450408
12050000000,32474990
12060000000,32499415
12070000000,32524019
12080000000,32548621
12090000000,32573058
12100000000,32597825
12110000000,32622547
12120000000,32647032
12130000000,32671823
12140000000,32696108
12150000000,32720612
12160000000,32744949
12170000000,32769489
12180000000,32794073
12190000000,32818307
12200000000,32842568
12210000000,32867226
12220000000,32891686
12230000000,32916167
12240000000,32940547
12250000000,32965090
12260000000,32989471
12270000000,33013992
12280000000,33038204
12290000000,33062743
12300000000,33087149
12310000000,33111630
12320000000,33136053
12330000000,33160780
12340000000,33185217
12350000000,33209678
12360000000,33234173
12370000000,33258661
12380000000,33283071
12390000000,33307299
12400000000,33331601
12410000000,33355930
12420000000,33380437
12430000000,33404769
12440000000,33429336
12450000000,33453964
12460000000,33478419
12470000000,33502757
12480000000,33527319
12490000000,33551642
12500000000,33575981
12510000000,33600455
12520000000,33624794
12530000000,33649088
12540000000,33673726
12550000000,33698249
12560000000,33722586
12570000000,33747052
12580000000,33771412
12590000000,33795763
12600000000,33820264
12610000000,33844666
12620000000,33868954
12630000000,33893200
12640000000,33917680
12650000000,33942023
12660000000,33966495
12670000000,33990818
12680000000,34015347
12690000000,34039802
12700000000,34064296
12710000000,34088659
12720000000,34112941
12730000000,34137369
12740000000,34161813
12750000000,34186153
12760000000,34210516
12770000000,34234926
12780000000,34259272
12790000000,34283549
12800000000,34307832
12810000000,34332385
12820000000,34356825
12830000000,34381007
12840000000,34405389
12850000000,34429773
12860000000,34454173
12870000000,34478667
12880000000,34502823
12890000000,34527212
12900000000,34551424
12910000000,34575913
12920000000,34600347
12930000000,34624822
12940000000,34649255
12950000000,34673356
12960000000,34697884
12970000000,34722279
12980000000,34746700
12990000000,34771000
13000000000,34795179
13010000000,34819204
13020000000,34843560
13030000000,34868023
13040000000,34892199
13050000000,34916432
13060000000,34940774
13070000000,34965196
13080000000,34989609
13090000000,35013919
13100000000,35038245
13110000000,35062649
13120000000,35086893
13130000000,35111335
13140000000,35135967
13150000000,35160244
13160000000,35184553
13170000000,35208963
13180000000,35233318
13190000000,35257684
13200000000,35282034
13210000000,35306478
13220000000,35330657
13230000000,35354847
13240000000,35379136
13250000000,35403520
13260000000,35427974
13270000000,35452191
13280000000,35476413
13290000000,35500811
13300000000,35525028
13310000000,35549385
13320000000,35573543
13330000000,35597793
13340000000,35622047
13350000000,35646558
13360000000,35671063
13370000000,35695342
13380000000,35719582
13390000000,35744110
13400000000,35768435
13410000000,35792807
13420000000,35817196
13430000000,35841568
13440000000,35865938
13450000000,35890264
13460000000,35914519
13470000000,35938695
13480000000,35962975
13490000000,35987190
13500000000,36011233
13510000000,36035434
13520000000,36059440
13530000000,36083626
13540000000,36107961
13550000000,36132238
13560000000,36156434
13570000000,36180498
13580000000,36204921
13590000000,36229218
13600000000,36253550
13610000000,36277885
13620000000,36301990
13630000000,36326369
13640000000,36350609
13650000000,36374830
13660000000,36398760
13670000000,36423035
13680000000,36447200
13690000000,36471449
13700000000,36495770
13710000000,36519968
13720000000,36544321
13730000000,36568837
13740000000,36593127
13750000000,36617105
13760000000,36641336
13770000000,36665474
13780000000,36689803
13790000000,36714103
13800000000,36738037
13810000000,36762374
13820000000,36786576
13830000000,36810873
13840000000,36835031
13850000000,36859271
13860000000,36883497
13870000000,36907821
13880000000,36932127
13890000000,36956577
13900000000,36980721
13910000000,37004708
13920000000,37029094
13930000000,37053177
13940000000,37077433
13950000000,37101639
13960000000,37125937
13970000000,37150308
13980000000,37174604
13990000000,37198690
14000000000,37222867
14010000000,37246865
14020000000,37270970
14030000000,37295235
14040000000,37319355
14050000000,37343508
14060000000,37367659
14070000000,37391906
14080000000,37416205
14090000000,37440297
14100000000,37464417
14110000000,37488370
14120000000,37512679
14130000000,37536856
14140000000,37561015
14150000000,37585271
14160000000,37609540
14170000000,37633652
14180000000,37657676
14190000000,37681819
14200000000,37705889
14210000000,37730220
14220000000,37754345
14230000000,37778540
14240000000,37802583
14250000000,37826886
14260000000,37851084
14270000000,37875124
14280000000,37899375
14290000000,37923446
14300000000,37947534
14310000000,37971627
14320000000,37995934
14330000000,38020078
14340000000,38044351
14350000000,38068516
14360000000,38092576
14370000000,38116505
14380000000,38140695
14390000000,38164854
14400000000,38188966
14410000000,38213127
14420000000,38237357
14430000000,38261513
14440000000,38285676
14450000000,38309727
14460000000,38333929
14470000000,38358146
14480000000,38382242
14490000000,38406434
14500000000,38430847
14510000000,38455171
14520000000,38479409
14530000000,38503448
14540000000,38527677
14550000000,38551707
14560000000,38575899
14570000000,38600149
14580000000,38624209
14590000000,38648367
14600000000,38672350
14610000000,38696728
14620000000,38720682
14630000000,38744706
14640000000,38768981
14650000000,38793008
14660000000,38817179
14670000000,38841375
14680000000,38865486
14690000000,38889551
14700000000,38913561
14710000000,38937931
14720000000,38961721
14730000000,38985919
14740000000,39010072
14750000000,39034146
14760000000,39058289
14770000000,39082230
14780000000,39106141
14790000000,39130113
14800000000,39154172
14810000000,39178438
14820000000,39202500
14830000000,39226758
14840000000,39250722
14850000000,39274953
14860000000,39299039
14870000000,39323173
14880000000,39347449
14890000000,39371420
14900000000,39395727
14910000000,39419682
14920000000,39443766
14930000000,39467857
14940000000,39491853
14950000000,39516094
14960000000,39540127
14970000000,39564179
