regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50,delta_51,delta_52,delta_53,delta_54,delta_55,delta_56,delta_57,delta_58,delta_59,delta_60,delta_61,delta_62,delta_63
50,16388947026629,8025703313321,3932015483766,1927249312196,945022540610,463574474324,227490246016,111679069262,54850265356,26961827364,13284963725,6599979349,3373666187,1887530812,1322657235,1314054864,1735288912,2595173503,3986990887,6058845587,8987163651,12942125613,18038457511,24270249282,31436282993,39074706306,46446535916,52646636758,57006306570,60152695261,66564881411,90547653881,169890437868,396319853813,981369400213,2394155064970,5639661675229,12801485189610,28064345119494,59575839080222,122722889464970,245701534981424,478646101537738,908001057608913,1678092589844508,3021559421831816,5298489490131228,9038820761112612,14969887307626423,23983322350031571,,,,,,,,,,,,,,
51,32129520311897,15740573285268,7714869971947,3782854488181,1855605175985,910582635375,447008161051,219517915035,107838845773,52988580417,26026753053,12741789328,6141809979,2768143792,880612980,-442044255,-1756099119,-3491388031,-6086561534,-10073552421,-16132398008,-25119561659,-38061687272,-56100144783,-80370394065,-111806677058,-150881383364,-197327919280,-249974556038,-306980862608,-367133557869,-433698439280,-524246093161,-694136531029,-1090456384842,-2071825785055,-4465980850025,-10105642525254,-22907127714864,-50971472834358,-110547311914580,-233270201379550,-478971736360974,-957617837898712,-1865618895507625,-3543711485352133,-6565270907183949,-11863760397315177,-20902581158427789,-35872468466054212,-59855790816085783,,,,,,,,,,,,,
52,63012603695171,30883083383274,15142510098006,7427640126059,3644785637878,1789180461893,878597826518,431589665467,212071750432,104232904659,51244324242,25217571189,12475781861,6333971882,3565828090,2685215110,3127259365,4883358484,8374746515,14461308049,24534860470,40667258478,65786820137,103848507409,159948652192,240319046257,352125723315,503007106679,700335025959,950309581997,1257290444605,1624424002474,2058122441754,2582368534915,3276505065944,4366961450786,6438787235841,10904768085866,21010410611120,43917538325984,94889011160342,205436323074922,438706524454472,917678260815446,1875296098714158,3740914994221783,7284626479573916,13849897386757865,25713657784073042,46616238942500831,82488707408555043,142344498224640826,,,,,,,,,,,,
53,123627200537929,60614596842758,29731513459484,14589003361478,7161363235419,3516577597541,1727397135648,848799309130,417209643663,205137893231,100904988572,49660664330,24443093141,11967311280,5633339398,2067511308,-617703802,-3744963167,-8628321651,-17003068166,-31464376215,-55999236685,-96666495163,-162453315300,-266301822709,-426250474901,-666569521158,-1018695244473,-1521702351152,-2222037377111,-3172346959108,-4429637403713,-6054061406187,-8112183847941,-10694552382856,-13971057448800,-18338018899586,-24776806135427,-35681574221293,-56691984832413,-100609523158397,-195498534318739,-400934857393661,-839641381848133,-1757319642663579,-3632615741377737,-7373530735599520,-14658157215173436,-28508054601931301,-54221712386004343,-100837951328505174,-183326658737060217,-325671156961701043,,,,,,,,,,,
54,242637500756380,119010300218451,58395703375693,28664189916209,14075186554731,6913823319312,3397245721771,1669848586123,821049276993,403839633330,198701740099,97796751527,48136087197,23692994056,11725682776,6092343378,4024832070,4642535872,8387499039,17015820690,34018888856,65483265071,121482501756,218148996919,380602312219,646904134928,1073154609829,1739724130987,2758419375460,4280121726612,6502159103723,9674506062831,14104143466544,20158204872731,28270388720672,38964941103528,52935998552328,71274017451914,96050823587341,131732397808634,188424382641047,289033905799444,484532440118183,885467297511844,1725108679359977,3482428322023556,7115044063401293,14488574799000813,29146732014174249,57654786616105550,111876499002109893,212714450330615067,396041109067675284,721712266029376327,,,,,,,,,,
55,476379740340417,233742239584037,114731939365586,56336235989893,27672046073684,13596859518953,6683036199641,3285790477870,1615941891747,794892614754,391052981424,192351241325,94554489798,46418402601,22725408545,10999725769,4907382391,882550321,-3759985551,-12147484590,-29163305280,-63182194136,-128665459207,-250147960963,-468296957882,-848899270101,-1495803405029,-2568958014858,-4308682145845,-7067101521305,-11347223247917,-17849382351640,-27523888414471,-41628031881015,-61786236753746,-90056625474418,-129021566577946,-181957565130274,-253231582582188,-349282406169529,-481014803978163,-669439186619210,-958473092418654,-1443005532536837,-2328472830048681,-4053581509408658,-7536009831432214,-14651053894833507,-29139628693834320,-58286360708008569,-115941147324114119,-227817646326224012,-440532096656839079,-836573205724514363,-1558285471753890690,,,,,,,,,
56,935609435783649,459229695443232,225487455859195,110755516493609,54419280503716,26747234430032,13150374911079,6467338711438,3181548233568,1565606341821,770713727067,379660745643,187309504318,92755014520,46336611919,23611203374,12611477605,7704095214,6821544893,10581530444,22729015034,51892320314,115074514450,243739973657,493887934620,962184892502,1811084162603,3306887567632,5875845582490,10184527728335,17251629249640,28598852497557,46448234849197,73972123263668,115600155144683,177386391898429,267443017372847,396464583950793,578422149081067,831653731663255,1180936137832784,1661950941810947,2331390128430157,3289863220848811,4732868753385648,7061341583434329,11114923092842987,18650932924275201,33301986819108708,62441615512943028,120727976220951597,236669123545065716,464486769871289728,905018866528128807,1741592072252643170,3299877544006533860,,,,,,,,
57,1838131803685114,902522367901465,443292672458233,217805216599038,107049700105429,52630419601713,25883185171681,12732810260602,6265471549164,3083923315596,1518316973775,747603246708,367942501065,180632996747,87877982227,41541370308,17930166934,5318689329,-2385405885,-9206950778,-19788481222,-42517496256,-94409816570,-209484331020,-453224304677,-947112239297,-1909297131799,-3720381294402,-7027268862034,-12903114444524,-23087642172859,-40339271422499,-68938123920056,-115386358769253,-189358482032921,-304958637177604,-482345029076033,-749788046448880,-1146252630399673,-1724674779480740,-2556328511143995,-3737264648976779,-5399215590787726,-7730605719217883,-11020468940066694,-15753337693452342,-22814679276886671,-33929602369729658,-52580535294004859,-85882522113113567,-148324137626056595,-269052113847008192,-505721237392073908,-970208007263363636,-1875226873791492443,-3616818946044135613,-6916696490050669473,,,,,,,
58,3612389083130026,1774257279444912,871734911543447,428442239085214,210637022486176,103587322380747,50956902779034,25073717607353,12340907346751,6075435797587,2991512481991,1473195508216,725592261508,357649760443,177016763696,89138781469,47597411161,29667244227,24348554898,26733960783,35940911561,55729392783,98246889039,192656705609,402141036629,855365341306,1802477580603,3711774712402,7432156006804,14459424868838,27362539313362,50450181486221,90789452908720,159727576828776,275113935598029,464472417630950,769431054808554,1251776083884587,2001564130333467,3147816760733140,4872491540213880,7428820051357875,11166084700334654,16565300291122380,24295906010340263,35316374950406957,51069712643859299,73884391920745970,107813994290475628,160394529584480487,246277051697594054,394601189323650649,663653303170658841,1169374540562732749,2139582547826096385,4014809421617588828,7631628367661724441,14548324857712393914,,,,,,
59,7101392627457670,3489003544327644,1714746264882732,843011353339285,414569114254071,203932091767895,100344769387148,49387866608114,24314149000761,11973241654010,5897805856423,2906293374432,1433097866216,707505604708,349855844265,172839080569,83700299100,36102887939,6435643712,-17912911186,-44646871969,-80587783530,-136317176313,-234564065352,-427220770961,-829361807590,-1684727148896,-3487204729499,-7198979441901,-14631135448705,-29090560317543,-56453099630905,-106903281117126,-197692734025846,-357420310854622,-632534246452651,-1097006664083601,-1866437718892155,-3118213802776742,-5119777933110209,-8267594693843349,-13140086234057229,-20568906285415104,-31734990985749758,-48300291276872138,-72596197287212401,-107912572237619358,-158982284881478657,-232866676802224627,-340680671092700255,-501075200677180742,-747352252374774796,-1141953441698425445,-1805606744869084286,-2974981285431817035,-5114563833257913420,-9129373254875502248,-16761001622537226689,-31309326480249620603,,,,,
